00:00:00.529050 nspr-5   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:00.529544 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:00.529547 nspr-4   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.525228 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:04.529815 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.529821 nspr-4   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.536313 nspr-5   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.536318 nspr-5   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.559855 nspr-3   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.559860 nspr-3   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
00:00:04.560079 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:04.560753 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:04.561396 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:04.561903 nspr-4   ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={The object functionality is limited}, preserve=false aResultDetail=0
00:00:04.563318 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={MachineWrap} aText={Runtime error opening '/home/benny/VirtualBox VMs/MSEdge - Win10_preview/MSEdge - Win10_preview.vbox' for reading: -102 (File not found.).
00:00:04.563323 nspr-4   /build/virtualbox-ccEvy7/virtualbox-6.0.4-dfsg/src/VBox/Main/src-server/MachineImpl.cpp[750] (nsresult Machine::i_registeredInit())}, preserve=false aResultDetail=0
